priority_rank,name,slug,threadcount,palette,symmetric,thread_total,demand_score,category,sources_verifying,verified_by,colour_agreement,listed_house_of_tartan,listed_weddslist,primary_source,designer,tartan_date,stwr_ref,restriction_status,restrictions,origin_url
507,Stirling & Bannockburn Dress (Dist),stirling-bannockburn-dress-dist,R/10 W56 R10 LSB6 R10 K42 R10 LSB56 W6 Y/10,Y#E8C000; K#101010; R#C80000; LSB#98C8E8; W#E0E0E0;,yes,412,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1705/
508,Strange of Balcaskie (Clan),strange-of-balcaskie-clan,G/64 T14 G14 T32 B64 Y6 T/16,Y#E8C000; B#2C2C80; T#604000; G#006818;,yes,340,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2259/
509,Suffolk County Police (Corporate),suffolk-county-police-corporate,B/148 R12 K24 Y6 K6 W6 R32 B16 K6 R8 W/6,Y#E8C000; B#2C2C80; R#C80000; K#101010; W#E0E0E0;,yes,386,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2461/
510,Tennant (Clan),tennant-clan,R/4 DT28 BL28 K28 G28 DT28 R/4,BL#1474B4; DT#604000; R#C80000; K#101010; G#006818;,yes,288,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1653/
511,Tokyo Bluebells (Corporate),tokyo-bluebells-corporate,BL/72 R4 BL4 R4 BL4 K28 BL52 W/8,BL#1474B4; K#101010; R#C80000; W#E0E0E0;,yes,272,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2538/
512,Unidentified Fisherwife's Plaid,unidentified-fisherwife-s-plaid,R/8 W4 R48 A18 R28 A2 W/160,R#DC0000 RED; W#E0E0E0 WHITE; A#3C82AF BLUE;,yes,368,35,Other,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,,,1692.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4293
513,Unidentified Lady's kilt,unidentified-lady-s-kilt,B/78 T6 K28 T6 A28 Y8 W4 DT/4,B#2C4084 BLUE; T#503C14 BROWN; K#101010 BLACK; A#3C82AF BLUE; Y#E8C000 YELLOW; W#E0E0E0 WHITE; DT#2A2303 BROWN;,yes,242,35,Other,2,Scottish Register of Tartans; Weddslist,1/2,no,yes,Scottish Register of Tartans,,,609.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4302
514,United States (Corporate),united-states-corporate,BL/7 DB5 SW6 DB5 R7 DB2 BL2 DB70 SW/2,BL#1474B4; DB#202060; R#C80000; SW#FCFCFC;,yes,203,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2126/
515,Wagland (Name),wagland-name,R/6 B12 Y4 B30 G24 HG78 W/6,B#2C2C80; W#E0E0E0; G#006818; Y#E8C000; R#C80000; HG#285800;,yes,308,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2470/
516,Wallace Dress (Clan),wallace-dress-clan,K/28 WW24 K4 WW/24,WW#FCFCFC; K#101010;,yes,108,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1251/
517,Weisfeld (Name),weisfeld-name,K/12 B6 AG56 W2 DB56 B4 W/6,K#101010; B#2C2C80; DB#202060; AG#00643C; W#E0E0E0;,yes,266,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2617/
518,Welsh Assembly (Fashion),welsh-assembly-fashion,G/10 N18 G8 W10 G60 XR4 G8 XR/4,XR#C80000; G#006818; W#E0E0E0; N#888888;,yes,230,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/2524/
519,Wilson's No.221,wilson-s-no-221,A/2 B28 R4 K28 G28 R/2,A#3C82AF BLUE; B#2C4084 BLUE; R#DC0000 RED; K#101010 BLACK; G#005020 MOD GREEN;,yes,180,35,Other,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,,,76.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4749
520,"Wilson, Janet (1780 Original)",wilson-janet-1780-original,DP/60 W4 A6 HG6 A6 HG6 A6 HG32 R6 HG6 R6 HG6 R6 HG6 R6 HG50 R30 HG8 A8 R16 W4 R/30,A#5C8CA8; R#C80000; DP#440044; W#E0E0E0; HG#285800;,yes,538,35,Scottish Tartans Society,2,Scottish Tartans Authority; Weddslist,1/2,no,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/625/
521,Accenture,accenture,W/6 B50 P42 N6 G42 R4 G4 B8 N2 P/6,B#2C2C80 BLUE; P#780078 PURPLE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; N#888888 GRAY;,yes,328,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Yellowley, Heather",01/02/2008,,weaver_note,Yes. A corporate tartan for Accenture.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5564
522,Allied Facenna,allied-facenna,MB34 NB34 DB6 NB6 DB6 NB6 DB38 NB6 DB6 NB6 DB6 NB34 MB34 LB6 MB34 NB34 DB34 NB6 DB6 NB6 DB34 NB34 MB34 Y6,MB#759B84 MBLUE; NB#000033 NAVY BLUE; DB#00009C MIDNIGHT BLUE; Y#FBEC5D GOLD; LB#5B90F6 LIGHT BLUE;,no,456,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Stewart, Annie",05/10/2010,,weaver_note,Yes. This tartan can only be woven by ANTA Scotland Ltd.Registered with Annie Stewart 2010 Copyright ANTA Scotland Ltd,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10443
523,Angle Blue,angle-blue,AW/4 AL44 K24 AL12 AW4 AL4 AW/4,AW#E8CCB8 ANC WHITE; AL#48A4C0 ANDERSON BLUE; K#101010 BLACK;,yes,184,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4882
524,Angle Dress,angle-dress,K/20 WG32 GO20 WG12 GO/20,K#101010 BLACK; GO#BC8C00 DARK GOLD; WG#408060 WTHRD GREEN;,yes,168,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5266
525,Angle Green,angle-green,GO/4 HG44 K24 HG12 GO4 HG4 GO/4,K#101010 BLACK; GO#BC8C00 DARK GOLD; HG#285800 HUNTING GREEN;,yes,184,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5264
526,Anglicare,anglicare,B/12 W4 B4 K12 RB12 K4 RB8 B12 LB12 W11 R4 W/8,W#FFFFFF WHITE; R#FF0000 RED; LB#82CFFD LIGHT BLUE; B#0000CD BLUE; RB#000080 DARK BLUE; K#101010 BLACK;,yes,186,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Johnston, Betty",20/08/2011,,weaver_note,Yes. The tartan can only be purchased from the Anglicare organisation who have created the tartan to raise funds.Marton Mills and Ingles Buchan have been approved to weave this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10485
527,Ar Lenn Vor,ar-lenn-vor,B/15 Y30 W30 K20 W20 K15 W10 Y4 B94 W4 LR/10,B#0000FF BLUE; Y#FCCC00 YELLOW; W#FFFFFF WHITE; K#101010 BLACK; LR#E87878 LIGHT RED;,yes,479,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Halmel, Jean-Marie",02/01/2015,,weaver_note,Yes. Permission to weave this tartan must be granted from the designer.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11207
528,"Asheville Firefighters, The",asheville-firefighters-the,G/4 B12 R10 Y4 G48 K/17,K#101010 BLACK; G#004028 GREEN; Y#FFE600 YELLOW; R#C80000 RED; B#A8ACE8 BLUE;,yes,169,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"House, David",01/10/2011,,weaver_note,Yes. This tartan is intended for use by the Asheville Firefighter Pipes and Drums. Others wishing to use it should seek permission from the Asheville Firefighters Pipes and Drums.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10866
529,Australian Heavy Horse,australian-heavy-horse,LN/8 G4 LN36 K4 DN10 DT32 W4 DN4 MT4 LN/8,LN#817D8C LIGHT GREY; DN#676278 DARK GREY; K#101010 BLACK; DT#4F2817 DARK BROWN; W#FFFFFF WHITE; G#2B6072 GREEN; MT#B98A76 MID TAN;,yes,212,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Lawson, FJ, of Crofter's Weaving Mill",30/07/2009,,weaver_note,Yes. Permission is required from the designer to weave this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10136
530,Bagpipe Shop (Switzerland),bagpipe-shop-switzerland,DN/100 W30 LN30 G10 R/10,DN#646464 DARK GREY; W#F8F4D0 AM BEIGE; LN#A4A8A8 LIGHT GREY; G#4CA412 GREEN; R#FF0000 RED;,yes,250,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Irman, Nicole",22/01/2013,,weaver_note,"Yes. By request from Bagpipe Shop in SwitzerlandOnly to be woven by House of Edgar, a division of Macnaughton Holdings in Perth.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10773
531,Bedford Academy,bedford-academy,N/8 DB42 N8 DB4 B16 DB4 N70 Y8 N/16,N#707070 GREY; DB#000080 DARK BLUE; B#86C3E3 BLUE; Y#EEC327 YELLOW;,yes,328,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Groganshaell Design (www.groganshaelldesign.com),01/05/2009,,weaver_note,Yes. A corporate tartan to be used by and for the Bedford Academy.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10226
532,Berry Tribute,berry-tribute,G/86 P6 T6 P4 T8 R6 LG4 G26 LG4 T18 G2 LT/4,G#005020 GREEN; P#64008C PURPLE; T#98481C BROWN; R#C8002C RED; LG#408060 LIGHT GREEN; LT#A08858 LIGHT BROWN;,yes,258,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Amyot, Robert & Chrystel",25/01/2015,,weaver_note,Yes. Permission must be sought from the designers to weave this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11226
533,Billy Apple® Yellow,billy-apple-yellow,G/6 K48 Y78 R/6,R#DC0000 RED; Y#FFE600 YELLOW; K#101010 BLACK; G#006818 GREEN;,yes,264,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Apple & Morrison,27/09/2013,,weaver_note,"Yes. This tartan will be available to family and art collectors. Otherwise, please contact: Mary Morrison, Director Billy Apple® Archive 20 George Street Auckland 1024 new Zealand +649 623 3550 Email: mary@billyapple.comDeveloped for weaving by Robin Elliot, Andrew Elliot (Fine Fabrics) Ltd, Forest Mill, Dunsdale Road, Selkirk TD7 5EA Tel: +44 (0) 1750 720412, Email: enquiries@elliot-weave.co.uk www.elliot-weave.co.uk",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11180
534,Blue Pride,blue-pride,B/76 K8 B4 G12 P22 DB6 P4 LR4 B22 K2 W/4,W#FCFCFC WHITE; K#101010 BLACK; B#3850C3 BLUE; LR#EC34C4 LIGHT RED; P#9058D8 PURPLE; DB#141E46 DARK BLUE; G#00643C GREEN;,yes,248,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Teviotdale, Gemma",28/04/2014,,weaver_note,"Yes. Prepared for weaving by The House of Edgar, a division of Mcnaughton Holdings Ltd.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11054
535,Boxer Beauty,boxer-beauty,K/26 W36 K36 T56 Y26 T56 K/26,K#101010 BLACK; W#FFFFFF WHITE; Y#CC7F32 GOLD; T#603800 BROWN;,yes,472,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Brenchley, Amanda",14/09/2013,,weaver_note,Yes. Anyone wishing to use this sett for commercial purposes should contact the designer first.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10914
536,Bronte House Check,bronte-house-check,LR/10 T60 B13 W24 B24 T/8,LR#FC0FC0 PINK; T#6B380D BROWN; B#2C294F NAVY; W#D4AD7D CREAM;,yes,260,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Bradley-Gill, Holly",09/12/2011,,weaver_note,Yes. Only to be woven by Abraham Moon & Sons Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10815
537,"Broons, The (DC Thomson)",broons-the-dc-thomson,K/2 OT50 OG38 DY2 T14 DY2 OG16 K2 R/6,K#101010 BLACK; OT#8B6508 OLIVE BROWN; OG#556B2F OLIVE GREEN; DY#FFD700 GOLD; T#603311 BROWN; R#FF0000 RED;,yes,256,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Wilton, Brian",11/10/2010,,weaver_note,Yes. Only to be woven by weavers approved by D C Thomson.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10357
538,Bruce of Kinnaird Dress (Dance),bruce-of-kinnaird-dress-dance,W/4 P24 B16 K20 Y2 K4 W16 K4 R18 W/90,R#C80000 RED; Y#E8C000 YELLOW; K#101010 BLACK; B#2C2C80 BLUE; P#780078 PURPLE; W#F8F8F8 WILSON WHITE;,yes,302,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2005,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=404
539,Caitriot,caitriot,W/6 B4 DN26 DB32 B28 N16 DN28 B4 W/6,W#FFFFFF WHITE; B#5F749C BLUE; DB#000048 DARK BLUE; N#A0A0A0 GREY; DN#505050 DARK GREY;,yes,288,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Targove, Susan",01/08/2014,,weaver_note,Yes. This tartan may not be woven or re-produced without the express written permission from Caitrionation.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11111
540,Caledonian Labrador Retrievers,caledonian-labrador-retrievers,P/42 LG8 T10 LG8 P10 K42 G42 Y/10,G#00643C GREEN; K#101010 BLACK; P#9C68A4 PURPLE; LG#86C67C LIGHT GREEN; T#441800 BROWN; Y#E0A126 YELLOW;,yes,292,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Givan, Maurice",10/03/2005,,weaver_note,"Yes. Intended for Scottish Labrador enthusiasts.Prepared for weaving by Andrew Elliot Ltd of Selkirk.Decisions regarding the manufacture, design, production, sale and advertisement of The Caledonian Labrador Retrievers Tartan will be referred to the registrant.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11077
541,Canfor,canfor,R/124 DR2 R12 DR18 N4 K4 DR18 W12 N2 W12 N40 W/4,R#DD072F RED; DR#A90725 DARK RED; N#757778 GREY; K#101010 BLACK; W#FFFFFF WHITE;,yes,376,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Helm, Janet",01/02/2013,,weaver_note,Yes. This tartan is only to be used or produced with the designer's permission.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10786
542,Cape Breton Polish Society,cape-breton-polish-society,K/4 W42 R10 G16 Y6 K2 N10 K2 R56 W/6,W#F8F8F8 WHITE; R#FF0000 RED; K#000000 BLACK; N#A0A0A0 GREY; Y#E0A126 YELLOW; G#005020 GREEN;,yes,298,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Lloy, Deana",,,weaver_note,"Yes. Written authorisation to wear/use this must be sought from the Parish Council St. Mary's Polish Parish, Sydney, Nova Scotia.Prepared for weaving by Lochcarron of Scotland.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11244
543,Celtic Norse Heritage Society,celtic-norse-heritage-society,N/60 K6 B18 G18 Y/6,K#101010 BLACK; N#888888 GREY; Y#FFE600 YELLOW; G#289C18 GREEN; B#00008C BLUE;,yes,150,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Horvath, Chris",17/03/2014,,weaver_note,Yes. Permission to weave this tartan must be granted by the Board of Directors of Celtic Norse Heritage Society.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11093
544,Christmas,christmas,DG/2 R30 G8 DG34 Y/4,DG#0E3923 DARK GREEN; G#207449 GREEN; R#BB001A RED; Y#E3B235 YELLOW;,yes,150,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Murison-McGowan, Ina",25/12/2011,,weaver_note,"Yes. Woven by Tartans 4 Africa, South Africa.Copyright held by Tartans4Africa.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10554
545,Clarks No.1,clarks-no-1,DB/10 A4 DB22 G4 DB4 G12 R34 Y18 DB2 R/2,R#A73E1D ANCIENT SCARLET; DB#32485C SLATE BLUE; Y#B07D0F GOLD; G#5E633E BAILIES GREEN; A#6D8399 AZURE;,yes,212,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Brown, Jonathan",17/08/2012,,weaver_note,Yes. Only to be woven by Strathmore Woollen Co Ltd in Wool Quality.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10678
546,Colonial Marine (Aliens Legacy),colonial-marine-aliens-legacy,G/112 T26 Y26 N/10,G#008B45 ROSS GREEN; T#5C4033 UMBER BROWN; Y#FFC125 GOLD; N#E6E6FA MORNING GREY;,yes,226,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Krook III, Russ",25/07/2011,,weaver_note,"Yes. Only to be worn by USCM/UKCM members in good standing. All others, please contact the designer for authorisation.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10487
547,Coppa Romana (Switzerland),coppa-romana-switzerland,K/34 Y4 K4 Y4 K18 LN22 K4 LN22 K40 Y/4,K#101010 BLACK; Y#F9BC17 YELLOW; LN#DFD9CA LIGHT GREY;,yes,274,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,House of Edgar/Kilts & More,01/01/2013,,weaver_note,"Yes. Only to be woven by House of Edgar, Perth, Scotland.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10804
548,Delta Lambda Phi,delta-lambda-phi,Y/4 K2 G60 W2 G6 W2 G6 W2 G40 Y12 K2 Y/10,Y#FFCC33 GOLD; K#101010 BLACK; G#006400 GREEN; W#FFFFFF WHITE;,yes,282,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Quigley/Dick,17/07/2011,,weaver_note,Yes. This tartan is intended for use and wear by Brothers and Alumni of Delta Lambda Phi Social Fraternity in accordance with the Fraternity's National By-Laws.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10511
549,Doon Valley Crafters,doon-valley-crafters,LB/6 K2 G20 K14 B20 G4 B4 G4 B20 K14 G20 K2 Y/6,G#006400 GREEN; K#101010 BLACK; B#0000CD BLUE; LB#C8D3FA LIGHT BLUE; Y#FFD200 YELLOW;,yes,260,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Stevenson, Dale",01/10/2012,,weaver_note,Yes. Prepared for weaving by Doon Valley Crafters.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10806
550,DunBroch,dunbroch,DB/8 LB16 K4 LB10 LN4 LB10 DG16 DR14 DG4 DR14 DG/6,DB#483D8B DARK BLUE; LB#539DC2 LIGHT BLUE; K#101010 BLACK; LN#E1CDB2 LIGHT GREY; DG#00572B DARK GREEN; DR#700038 DARK RED;,yes,198,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Disney/Pixar,13/12/2011,,weaver_note,Yes. For corporate use by Disney/Pixar,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10641
551,Earl of St. Andrews Dress,earl-of-st-andrews-dress,WW/40 NB28 OX28 WW8 RB4 A4 OX/14,NB#003478 MUTED BLUE; OX#3C3C64 REPRO BLUE; RB#000064 NAVY; A#6478B0 REPRO AZURE; WW#F8F8F8 WILSON WHITE;,yes,198,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2002,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1064
552,East Carolina University,east-carolina-university,P/26 W4 P16 K10 Y20 P150 Y/6,P#AA00FF PURPLE; W#FFFFFF WHITE; K#101010 BLACK; Y#FFE700 GOLD;,yes,432,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Chen, Runying (College of Human Ecology)",01/11/2010,,weaver_note,Yes. The East Carolina University Tartan may not be woven or produced in any form without written permission from the Dean of the College of Human Ecology at East Carolina University.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10516
553,Eastern Kentucky University,eastern-kentucky-university,K/10 R30 K24 W8 N18 R/30,K#101010 BLACK; R#C80000 RED; W#FFFFFF WHITE; N#888888 GREY;,yes,200,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Rector, Hensley",01/04/2014,,weaver_note,"Yes. This tartan may not be woven or produced in any form without written permission from: Associate Vice President for Public Relations and Marketing Eastern Kentucky University 521 Lancaster Ave. Richmond, Kentucky 40475 and can only be produced under licence.The design right for the Eastern Kentucky University Tartan is held by Eastern Kentucky University under the U.S. Copyright Act- 17 U.S.C. Formal registration is pending.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11069
554,Einigkeit,einigkeit,Y/4 K70 R4 K8 R8 K8 R20 Y4 K4 Y/12,K#000000 BLACK; R#FF0000 RED; Y#FFCC00 YELLOW;,yes,268,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Kruenaegel-Schropp, Doris Maria",19/10/2013,,weaver_note,Yes. As the colour codes refer to the flag colour guideline published by the German government any weaving should consider this.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10949
555,Entrepreneurial Spark,entrepreneurial-spark,G/2 K62 W18 K12 O8 W16 O6 K/28,K#101010 BLACK; W#F0E0C8 WHITE; O#D87C00 ORANGE; G#006818 GREEN;,yes,274,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Dalgetty & Papadakis, Tartan Connections Ltd",13/11/2013,,weaver_note,"Yes. This tartan is for corporate use only.Consent to weave this tartan must be sought from Professor Jim Duffy, Entrepreneurial Spark, Lawmoor Street, Glasgow G50US Tel: 0141-418-9120",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10996
556,Fair Trade,fair-trade,K/16 B4 K4 B48 K16 W4 K2 W4 K8 W4 K2 W4 K16 G32 K/8,K#101010 BLACK; B#0596FA BLUE; W#FFFFFF WHITE; G#289C18 GREEN;,yes,320,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"McGill, David",19/11/2013,,weaver_note,"Yes. Only to be worn/used with the designer's express written permission.UK Registered design #4033483 (21 Dec 2013) in application to repeated surface pattern for textile, clothing, fashion accessories/paper products.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10980
557,George Watson's College,george-watson-s-college,LB/6 DR48 Y6 G24 WW6 G24 R/6,LB#2888C4 LIGHT BLUE; DR#880000 DARK RED; WW#FCFCFC WILSON WHITE; G#006818 GREEN; Y#E8C000 YELLOW; R#C80000 RED;,yes,228,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/01/1997,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1332
558,Glasgow Dress (Dance),glasgow-dress-dance,LN/6 N6 WW30 DR36 LN30 DR6 N/32,DR#880000 DARK RED; LN#C0C0C0 LIGHT GREY; N#888888 GREY; WW#FCFCFC WILSON WHITE;,yes,254,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/01/1984,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1356
559,Glen Nevis #2 (Personal),glen-nevis-2-personal,AY/4 E36 DT4 E12 K12 TK12 K12 TK8 AY4 TK4 AY4 TK/56,AY#DC943C ANC YELLOW; K#101010 BLACK; DT#441800 DARK BROWN; E#4C3428 DRAB; TK#8C7038 KHAKI;,yes,276,32,Fashion,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Robson-Bell, Dawn",01/02/1997,2372.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1390
560,Gleneagles USA (Dalgleish),gleneagles-usa-dalgleish,G/8 LN62 G14 DR28 G22 DR/6,DR#880000 DARK RED; G#006818 GREEN; LN#C0C0C0 LIGHT GREY;,yes,266,32,Corporate,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2002,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1413
